code_iata,code_oaci,name,iso_country,latitude_deg,longitude_deg
CRQ,SBCV,Caravelas Airport,BR,-17.6523,-39.253101
CXJ,SBCX,Hugo Cantergiani Regional Airport,BR,-29.197183,-51.187647
CGB,SBCY,Marechal Rondon Airport,BR,-15.6529,-56.116699
CZS,SBCZ,Cruzeiro do Sul Airport,BR,-7.59991,-72.769501
BYO,SBDB,Bonito Airport,BR,-21.2473,-56.452399
PPB,SBDN,Presidente Prudente Airport,BR,-22.1751,-51.424599
DOU,SBDO,Dourados Airport,BR,-22.2019,-54.926601
MAO,SBEG,Eduardo Gomes International Airport,BR,-3.03861,-60.049702
JCR,SBEK,Jacareacanga Airport,BR,-6.23316,-57.776901
IGU,SBFI,Cataratas International Airport,BR,-25.594167,-54.489444
FLN,SBFL,Hercílio Luz International Airport,BR,-27.670279,-48.552502
FEN,SBFN,Fernando de Noronha Airport,BR,-3.854471,-32.423302
FOR,SBFZ,Pinto Martins International Airport,BR,-3.775833,-38.532222
GIG,SBGL,Rio Galeão – Tom Jobim International Airport,BR,-22.809999,-43.250557
GJM,SBGM,Guajará-Mirim Airport,BR,-10.78641,-65.28486
GYN,SBGO,Santa Genoveva Airport,BR,-16.632,-49.220699
GRU,SBGR,Guarulhos - Governador André Franco Montoro International Airport,BR,-23.431944,-46.467778
GPB,SBGU,Tancredo Thomas de Faria Airport,BR,-25.388327,-51.52349
GVR,SBGV,Coronel Altino Machado Airport,BR,-18.895882,-41.982869
GUJ,SBGW,Edu Chaves Field,BR,-22.791599,-45.2048
ATM,SBHT,Altamira Interstate Airport,BR,-3.253144,-52.253938
ITA,SBIC,Itacoatiara Airport,BR,-3.126539,-58.481668
ITB,SBIH,Itaituba Airport,BR,-4.242131,-56.000651
IOS,SBIL,Bahia - Jorge Amado Airport,BR,-14.815929,-39.033458
IPN,SBIP,Usiminas Airport,BR,-19.470699,-42.487598
ITR,SBIT,Francisco Vilela do Amaral Airport,BR,-18.4447,-49.213402
IMP,SBIZ,Prefeito Renato Moreira Airport,BR,-5.53129,-47.459999
JJG,SBJA,Humberto Ghizzo Bortoluzzi Regional Airport,BR,-28.6753,-49.0596
QDV,SBJD,Comte. Rolim Adolfo Amaro–Jundiaí State Airport,BR,-23.180861,-46.943921
JJD,SBJE,Comandante Ariston Pessoa Airport,BR,-2.906425,-40.357338
JDF,SBJF,Francisco de Assis Airport,BR,-21.791482,-43.386072
JHF,SBJH,São Paulo Catarina Executive Airport,BR,-23.426886,-47.165658
JPR,SBJI,Ji-Paraná Airport,BR,-10.870743,-61.846675
